timestamp,ticker,asset,flow_usd_m
2024-06-20,FBTC,BTC,-51.1
2024-06-20,BITB,BTC,-31.5
2024-06-20,ARKB,BTC,0.0
2024-06-20,BTCO,BTC,-2.0
2024-06-20,EZBC,BTC,0.0
2024-06-20,BRRR,BTC,0.0
2024-06-20,HODL,BTC,-3.7
2024-06-20,BTCW,BTC,0.0
2024-06-20,GBTC,BTC,-53.1
2024-06-21,IBIT,BTC,0.0
2024-06-21,FBTC,BTC,-44.8
2024-06-21,BITB,BTC,0.0
2024-06-21,ARKB,BTC,-28.8
2024-06-21,BTCO,BTC,0.0
2024-06-21,EZBC,BTC,1.9
2024-06-21,BRRR,BTC,0.0
2024-06-21,HODL,BTC,0.0
2024-06-21,BTCW,BTC,0.0
2024-06-21,GBTC,BTC,-34.2
2024-06-24,IBIT,BTC,0.0
2024-06-24,FBTC,BTC,-35.2
2024-06-24,BITB,BTC,-8.2
2024-06-24,ARKB,BTC,-7.2
2024-06-24,BTCO,BTC,-2.4
2024-06-24,EZBC,BTC,-20.9
2024-06-24,BRRR,BTC,0.0
2024-06-24,HODL,BTC,-10.2
2024-06-24,BTCW,BTC,0.0
2024-06-24,GBTC,BTC,-90.4
2024-06-25,IBIT,BTC,0.0
2024-06-25,FBTC,BTC,48.8
2024-06-25,BITB,BTC,15.2
2024-06-25,ARKB,BTC,-6.2
2024-06-25,BTCO,BTC,0.0
2024-06-25,EZBC,BTC,0.0
2024-06-25,BRRR,BTC,0.0
2024-06-25,HODL,BTC,3.5
2024-06-25,BTCW,BTC,0.0
2024-06-25,GBTC,BTC,-30.3
2024-06-26,IBIT,BTC,0.0
2024-06-26,FBTC,BTC,18.6
2024-06-26,BITB,BTC,0.0
2024-06-26,ARKB,BTC,-4.9
2024-06-26,BTCO,BTC,0.0
2024-06-26,EZBC,BTC,0.0
2024-06-26,BRRR,BTC,0.0
2024-06-26,HODL,BTC,3.4
2024-06-26,BTCW,BTC,0.0
2024-06-26,GBTC,BTC,4.3
2024-06-27,IBIT,BTC,0.0
2024-06-27,FBTC,BTC,6.7
2024-06-27,BITB,BTC,8.0
2024-06-27,ARKB,BTC,1.8
2024-06-27,BTCO,BTC,3.1
2024-06-27,EZBC,BTC,3.6
2024-06-27,BRRR,BTC,0.0
2024-06-27,HODL,BTC,0.0
2024-06-27,BTCW,BTC,0.0
2024-06-27,GBTC,BTC,-11.4
2024-06-28,IBIT,BTC,82.4
2024-06-28,FBTC,BTC,-25.0
2024-06-28,BITB,BTC,0.0
2024-06-28,ARKB,BTC,42.8
2024-06-28,BTCO,BTC,0.0
2024-06-28,EZBC,BTC,0.0
2024-06-28,BRRR,BTC,0.0
2024-06-28,HODL,BTC,0.0
2024-06-28,BTCW,BTC,0.0
2024-06-28,GBTC,BTC,-27.2
