timestamp,ticker,asset,flow_usd_m
2025-02-14,FETH,ETH,11.7
2025-02-14,ETHW,ETH,0.0
2025-02-14,TETH,ETH,0.0
2025-02-14,ETHV,ETH,0.0
2025-02-14,QETH,ETH,0.0
2025-02-14,EZET,ETH,0.0
2025-02-14,ETHE,ETH,0.0
2025-02-14,ETH,ETH,0.0
2025-02-18,ETHA,ETH,0.0
2025-02-18,FETH,ETH,4.6
2025-02-18,ETHW,ETH,0.0
2025-02-18,TETH,ETH,0.0
2025-02-18,ETHV,ETH,0.0
2025-02-18,QETH,ETH,0.0
2025-02-18,EZET,ETH,0.0
2025-02-18,ETHE,ETH,0.0
2025-02-18,ETH,ETH,0.0
2025-02-19,ETHA,ETH,0.0
2025-02-19,FETH,ETH,24.5
2025-02-19,ETHW,ETH,0.0
2025-02-19,TETH,ETH,0.0
2025-02-19,ETHV,ETH,0.0
2025-02-19,QETH,ETH,0.0
2025-02-19,EZET,ETH,0.0
2025-02-19,ETHE,ETH,-5.5
2025-02-19,ETH,ETH,0.0
2025-02-20,ETHA,ETH,0.0
2025-02-20,FETH,ETH,-2.8
2025-02-20,ETHW,ETH,0.0
2025-02-20,TETH,ETH,0.0
2025-02-20,ETHV,ETH,0.0
2025-02-20,QETH,ETH,0.0
2025-02-20,EZET,ETH,0.0
2025-02-20,ETHE,ETH,-10.3
2025-02-20,ETH,ETH,0.0
2025-02-21,ETHA,ETH,0.0
2025-02-21,FETH,ETH,0.0
2025-02-21,ETHW,ETH,-8.9
2025-02-21,TETH,ETH,0.0
2025-02-21,ETHV,ETH,0.0
2025-02-21,QETH,ETH,0.0
2025-02-21,EZET,ETH,0.0
2025-02-21,ETHE,ETH,0.0
2025-02-21,ETH,ETH,0.0
2025-02-24,ETHA,ETH,-48.2
2025-02-24,FETH,ETH,0.0
2025-02-24,ETHW,ETH,-9.7
2025-02-24,TETH,ETH,0.0
2025-02-24,ETHV,ETH,0.0
2025-02-24,QETH,ETH,0.0
2025-02-24,EZET,ETH,0.0
2025-02-24,ETHE,ETH,-15.4
2025-02-24,ETH,ETH,-4.7
2025-02-25,ETHA,ETH,0.0
2025-02-25,FETH,ETH,-12.5
2025-02-25,ETHW,ETH,-8.2
2025-02-25,TETH,ETH,0.0
2025-02-25,ETHV,ETH,0.0
2025-02-25,QETH,ETH,0.0
2025-02-25,EZET,ETH,0.0
2025-02-25,ETHE,ETH,-27.1
2025-02-25,ETH,ETH,-2.3
2025-02-26,ETHA,ETH,-69.8
2025-02-26,FETH,ETH,-18.4
2025-02-26,ETHW,ETH,-2.8
2025-02-26,TETH,ETH,0.0
2025-02-26,ETHV,ETH,0.0
2025-02-26,QETH,ETH,0.0
2025-02-26,EZET,ETH,0.0
2025-02-26,ETHE,ETH,-3.3
2025-02-26,ETH,ETH,0.0
2025-02-27,ETHA,ETH,-26.1
2025-02-27,FETH,ETH,-25.5
2025-02-27,ETHW,ETH,0.0
2025-02-27,TETH,ETH,0.0
2025-02-27,ETHV,ETH,0.0
2025-02-27,QETH,ETH,0.0
2025-02-27,EZET,ETH,0.0
2025-02-27,ETHE,ETH,-19.6
2025-02-27,ETH,ETH,0.0
2025-02-28,ETHA,ETH,-30.2
2025-02-28,FETH,ETH,0.0
2025-02-28,ETHW,ETH,0.0
2025-02-28,TETH,ETH,0.0
2025-02-28,ETHV,ETH,0.0
2025-02-28,QETH,ETH,0.0
2025-02-28,EZET,ETH,0.0
2025-02-28,ETHE,ETH,-11.7
2025-02-28,ETH,ETH,0.0
2025-03-03,ETHA,ETH,-16.1
2025-03-03,FETH,ETH,0.0
2025-03-03,ETHW,ETH,4.0
2025-03-03,TETH,ETH,0.0
2025-03-03,ETHV,ETH,0.0
2025-03-03,QETH,ETH,0.0
2025-03-03,EZET,ETH,0.0
2025-03-03,ETHE,ETH,0.0
2025-03-03,ETH,ETH,0.0
2025-03-04,ETHA,ETH,-26.3
2025-03-04,FETH,ETH,21.7
2025-03-04,ETHW,ETH,0.0
2025-03-04,TETH,ETH,0.0
2025-03-04,ETHV,ETH,0.0
2025-03-04,QETH,ETH,0.0
2025-03-04,EZET,ETH,0.0
2025-03-04,ETHE,ETH,10.7
2025-03-04,ETH,ETH,8.5
2025-03-05,ETHA,ETH,0.0
2025-03-05,FETH,ETH,0.0
